Points_0,Points_1,Points_2
0.739421,1.49566,0.504117
0.733796,1.42895,0.50082
0.709468,1.34232,0.461914
0.545883,1.3113,0.527345
0.455096,2.37755,0.0804243
0.587927,1.44582,0.557408
0.599984,1.52052,0.565506
0.602417,1.57887,0.573224
0.575929,1.72811,0.557307
0.550247,1.83659,0.506587
0.529309,1.96822,0.451053
0.521514,2.10148,0.382018
0.477957,2.24259,0.280812
0.461427,2.31657,0.1801
0.451186,2.35899,0.116447
-0.243122,2.3456,0.0729816
-0.0164301,2.3104,0.126306
-0.237091,2.30667,0.129375
-0.0216975,2.25479,0.205691
-0.214296,2.26289,0.191697
-0.00637012,2.13444,0.310935
-0.206966,2.1756,0.279713
0.0362125,2.03745,0.387407
-0.23438,2.10316,0.363586
0.0644202,1.93635,0.44264
-0.202261,1.94942,0.480961
0.072333,1.77075,0.524869
-0.103996,1.75928,0.555118
0.0672682,1.6893,0.545662
-0.104044,1.6686,0.58444
0.07716,1.62209,0.555867
-0.113861,1.59412,0.600142
0.0743565,1.55867,0.564057
-0.102616,1.52027,0.606203
0.0816122,1.46746,0.55011
-0.100636,1.43092,0.603056
0.0878759,1.3717,0.504804
-0.0989703,1.32421,0.588981
0.0765427,1.32176,0.488322
-0.109078,1.22289,0.554818
0.0726457,1.20884,0.451668
-0.101541,1.10375,0.48565
0.0799102,1.13135,0.408138
-0.1078,1.02295,0.412008
0.0685371,1.06699,0.368527
-0.104217,0.98232,0.339306
0.0650325,1.03194,0.323172
0.0606197,0.961836,0.256111
0.0607472,0.94233,0.187067
-0.588431,2.35006,0.0841663
-0.439353,2.34661,0.0688652
-0.587514,2.32674,0.121789
-0.459418,2.32047,0.119638
-0.617872,2.30212,0.197468
-0.45103,2.29318,0.173664
-0.605216,2.25989,0.284709
-0.420852,2.25181,0.242152
-0.639101,2.19085,0.33761
-0.426582,2.17874,0.310729
-0.743111,2.13404,0.371413
-0.520743,2.0463,0.430194
-0.768884,2.0005,0.507394
-0.392484,1.80532,0.595546
-0.673378,1.79638,0.648951
-0.339265,1.67533,0.651114
-0.626245,1.68227,0.700512
-0.333732,1.60451,0.673569
-0.578316,1.53957,0.743672
-0.326679,1.50404,0.682275
-0.576888,1.34657,0.752127
-0.337082,1.38182,0.696976
-0.564333,1.20042,0.72753
-0.332427,1.23652,0.668433
-0.556475,1.07713,0.66512
-0.360032,1.09903,0.617136
-0.572794,0.986433,0.58092
-0.373419,1.00948,0.547576
-0.573627,0.944234,0.516879
-0.373578,0.963961,0.481464
-0.877541,2.37779,0.0609719
-0.735852,2.3582,0.0690911
-0.882852,2.35663,0.123805
-0.762634,2.34273,0.131299
-0.911567,2.33345,0.228718
-0.790348,2.31199,0.241034
-0.931725,2.3146,0.32191
-0.802827,2.26847,0.337611
-0.960535,2.27904,0.400105
-0.833473,2.21702,0.363425
-1.02563,2.22039,0.465064
-0.90546,2.12872,0.419505
-1.02624,2.10077,0.50952
-0.871015,2.03472,0.488514
-0.98288,1.98897,0.548232
-0.847723,1.9594,0.554989
-0.961346,1.8562,0.598183
-0.835729,1.79016,0.644385
-0.993922,1.73361,0.636914
-0.816592,1.67598,0.686879
-0.998383,1.59257,0.66819
-0.80607,1.45225,0.747208
-0.956858,1.29525,0.686822
-0.816552,1.2199,0.722034
-0.948338,1.18502,0.642013
-0.809527,1.09989,0.661682
-0.959878,1.10608,0.579171
-0.783118,1.01437,0.598695
-0.962215,1.05839,0.49272
-0.761588,0.968223,0.517281
0.381266,1.30589,0.551726
0.383065,1.22509,0.534838
0.302981,2.37267,0.100156
0.312384,2.35156,0.129421
0.318247,2.31689,0.178938
0.32169,2.25718,0.26043
0.327059,2.19145,0.3288
0.35067,2.01687,0.438134
0.355748,1.94315,0.472989
0.37685,1.78849,0.518916
0.385203,1.70219,0.536373
0.390197,1.61179,0.551373
0.391872,1.51964,0.560511
0.398251,1.42249,0.571289
0.183756,1.0167,0.301307
0.19192,0.959636,0.256401
0.197588,0.927634,0.193665
0.195715,1.06619,0.364925
0.263623,1.35436,0.489771
0.210611,1.19381,0.443658
0.200543,1.12477,0.396447
-0.761901,0.92178,0.398496
-0.943831,2.38331,0.0611529
-0.957227,2.36311,0.120107
-0.966598,2.34212,0.235431
-0.987686,2.33293,0.320452
-1.03915,2.29423,0.43516
-1.10069,2.21653,0.492888
-1.10594,2.08102,0.522942
-1.13843,1.89292,0.535254
-1.13347,1.80266,0.550339
-1.13998,1.73002,0.571771
-1.13302,1.61799,0.606551
-1.13642,1.4787,0.619846
-1.15185,1.36483,0.573354
-1.12763,1.26347,0.519473
-1.11646,1.18653,0.476366
-1.08397,2.39188,0.0556873
-1.09744,2.37376,0.111269
-1.1108,2.36799,0.193357
-1.19235,2.31612,0.357594
-1.22161,2.21504,0.471196
-1.21468,2.10314,0.506064
-1.22935,1.96062,0.512954
-1.23663,1.84464,0.526588
-1.23265,1.78485,0.546389
-1.19375,1.70594,0.577206
-1.1781,1.61993,0.604188
-1.20152,1.48177,0.609139
-1.23816,1.37138,0.565327
-1.2455,1.27018,0.493267
-1.24254,1.21717,0.45567
-1.23805,1.2021,0.427168
-1.12736,1.15336,0.417981
-0.870025,0.961382,0.392435
-0.983815,1.03216,0.39632
-0.944239,1.01247,0.402195
-1.25841,2.40454,0.0631288
-1.26748,2.39229,0.103186
-1.28395,2.37607,0.193063
-1.29921,2.31869,0.357124
-1.31404,2.20099,0.478937
-1.35383,2.07174,0.518381
-1.3548,1.94193,0.532813
-1.3363,1.84451,0.547986
-1.29315,1.77143,0.563264
-1.25436,1.69483,0.590661
-1.25188,1.61153,0.624498
-1.30603,1.43774,0.622307
-1.34514,1.29917,0.561091
-1.35207,1.19157,0.499426
-1.35528,1.15122,0.462641
-1.3585,1.11087,0.425855
-1.51995,2.44304,0.0317397
-1.53073,2.42813,0.0985798
-1.53326,2.40792,0.176308
-1.53861,2.37324,0.268667
-1.5396,2.29832,0.388268
-1.52525,2.15956,0.491646
-1.47559,1.97154,0.554109
-1.45965,1.8927,0.56181
-1.45296,1.84967,0.563555
-1.43216,1.7359,0.582546
-1.41436,1.63773,0.606601
-1.40614,1.55547,0.617229
-1.39212,1.41923,0.608267
-1.41309,1.24076,0.555123
-1.47315,1.06929,0.5166
-1.68754,2.47112,0.0246564
-1.69837,2.42805,0.0979502
-1.69733,2.41698,0.162211
-1.7122,2.39207,0.25133
-1.70189,2.33382,0.347938
-1.67689,2.2475,0.417075
-1.63342,2.08972,0.498431
-1.58736,1.93646,0.535089
-1.57184,1.8099,0.541802
-1.57025,1.71984,0.547568
-1.52617,1.63709,0.571024
-1.50956,1.49669,0.592658
-1.49507,1.37783,0.594637
-1.49877,1.21172,0.558072
-1.54325,1.06772,0.526863
-1.89323,2.34611,0.141926
-1.82217,2.40123,0.169684
-1.89651,2.30128,0.228127
-1.83842,2.36423,0.246681
-1.89027,2.24156,0.271639
-1.81346,2.30807,0.306133
-1.87406,2.17092,0.312802
-1.78672,2.23467,0.378566
-1.85904,2.09055,0.33844
-1.77203,2.13025,0.403688
-1.83126,1.94175,0.39269
-1.75072,1.95482,0.436731
-1.79941,1.77063,0.437486
-1.71375,1.80486,0.480331
-1.77486,1.68042,0.466499
-1.68381,1.70213,0.515645
-1.73476,1.59494,0.493031
-1.65159,1.61737,0.538144
-1.70871,1.44686,0.514534
-1.62318,1.45091,0.567057
-1.70657,1.30874,0.504691
-1.62057,1.33016,0.568158
-1.71794,1.16301,0.471599
-1.63665,1.16122,0.53966
-1.73035,1.04801,0.443391
-1.6565,1.04578,0.501834
-1.74743,0.982462,0.426901
-1.69197,0.968232,0.483025
-1.98813,2.30388,0.132259
-1.97181,2.24978,0.193193
-1.96593,2.19865,0.223168
-1.95293,2.12823,0.255021
-1.9462,2.05075,0.273319
-1.92107,1.92699,0.309725
-1.88654,1.78203,0.37553
-1.85115,1.67318,0.40692
-1.82521,1.55324,0.42196
-1.79214,1.41623,0.435955
-1.76699,1.30183,0.449779
-1.76909,1.17153,0.426028
-1.78647,1.08426,0.405605
-1.977,2.19887,0.0954694
-1.97342,2.16424,0.121358
-1.97088,2.11326,0.141794
-1.96055,2.06355,0.163023
-1.95699,2.01446,0.165563
-1.94242,1.91226,0.187396
-1.91557,1.77321,0.233328
-1.89344,1.66503,0.2748
-1.86614,1.54773,0.324678
-1.84338,1.45185,0.33118
-1.78919,1.28103,0.352091
-1.42735,1.02777,0.428129
-1.81493,0.927047,0.408396
-1.58108,0.810576,0.316314
-1.72266,0.488582,0.376221
-1.77955,0.359688,0.48183
-1.80534,0.356845,0.471115
-1.79745,0.272915,0.499591
-1.68761,0.384444,0.461901
-1.72632,0.375461,0.457189
-1.71135,0.303816,0.483598
-1.67137,0.384365,0.428249
-1.65811,0.310009,0.481592
-1.7972,0.24785,0.493579
-1.76256,0.280029,0.498563
-1.80368,0.206348,0.496382
-1.7645,0.218369,0.488773
-1.75992,0.198078,0.476095
-1.61332,0.252646,0.440196
-1.64056,0.307558,0.43692
-1.75076,0.374191,0.462968
-1.7422,0.289934,0.50425
-1.81135,0.254952,0.431812
-1.80978,0.19918,0.420929
-1.79391,0.207538,0.373655
-1.81385,0.348329,0.428118
-1.79654,0.370858,0.389596
-1.77731,0.266651,0.376684
-1.67791,0.238523,0.489822
-1.62403,0.243574,0.48224
-1.71777,0.227776,0.503095
-1.73887,0.221181,0.499476
-1.66784,0.325001,0.400906
-1.73774,0.279593,0.360118
-1.69491,0.312218,0.374722
-1.66942,0.240259,0.381656
-1.6327,0.248683,0.40978
-1.7247,0.379357,0.374228
-1.7456,0.383056,0.376877
-1.68178,0.377396,0.405301
-1.78747,1.09099,0.347991
-1.77487,1.18526,0.363539
-1.84736,1.46705,0.297938
-1.919,1.97252,0.129306
-1.90947,1.91396,0.125837
-1.9007,1.79821,0.144073
-1.89197,1.66893,0.191839
-1.87166,1.56877,0.242991
-1.93914,2.00507,0.00213196
-2.03707,1.52001,0.0105783
-2.02447,1.66952,0.0235689
-2.02941,1.66896,0.00213229
-2.03639,1.82284,0.0255526
-2.05529,2.04576,0.0275408
-2.0436,2.25552,0.0295243
-1.97223,2.39139,0.0315077
