Points_0,Points_1,Points_2
0.605538,0.183122,-0.472278
0.649223,0.1297,-0.494875
0.601082,0.105512,-0.533343
0.691245,0.0569483,-0.524762
0.652035,0.0379582,-0.542332
0.551138,0.035353,-0.528984
0.531619,0.0862931,-0.518267
0.50737,0.153473,-0.480014
0.553695,0.167654,-0.487671
0.489856,0.196293,-0.459547
0.526708,0.218281,-0.46742
0.628928,0.180988,-0.437145
0.480463,0.124842,-0.462924
0.504377,0.066104,-0.487561
0.456951,0.221023,-0.409198
0.470214,0.17237,-0.445199
0.466203,0.150109,-0.379214
0.574705,0.0229441,-0.40214
0.469174,0.102158,-0.387329
0.510774,0.0400168,-0.40009
0.508936,0.149267,-0.301834
0.496042,0.222658,-0.319061
0.454575,0.204404,-0.365716
0.514049,0.0891451,-0.307022
0.541124,0.0500849,-0.301199
0.5957,0.0385092,-0.30689
0.627165,0.0234026,-0.41067
0.647535,0.0403254,-0.320944
0.66388,0.13171,-0.457855
0.710429,0.0770625,-0.498851
0.684065,0.125508,-0.420276
0.733973,0.0561901,-0.447249
0.644123,0.183809,-0.391095
0.676281,0.128527,-0.351192
0.706459,0.0674132,-0.350672
0.643921,0.173649,-0.361089
0.566021,0.179392,-0.295398
0.539074,0.263199,-0.314758
0.587515,0.120549,-0.29631
0.622563,0.209606,-0.350649
-1.59618,0.160182,-0.534918
-1.54804,0.10676,-0.557514
-1.60109,0.0825683,-0.595979
-1.50173,0.0340085,-0.587402
-1.54493,0.015014,-0.604971
-1.65613,0.0124087,-0.591624
-1.67765,0.0633488,-0.580908
-1.70437,0.130528,-0.54265
-1.65332,0.144709,-0.550311
-1.72367,0.173349,-0.522187
-1.68306,0.195336,-0.53006
-1.5704,0.158048,-0.499785
-1.73402,0.101902,-0.525564
-1.70767,0.0431597,-0.550201
-1.75993,0.198078,-0.471833
-1.74532,0.14943,-0.507839
-1.74974,0.127169,-0.441854
-1.63016,0,-0.46478
-1.74647,0.0792137,-0.449969
-1.70062,0.0170769,-0.462731
-1.70264,0.126327,-0.364474
-1.71685,0.199714,-0.381701
-1.76255,0.18146,-0.428352
-1.69701,0.0662054,-0.369662
-1.66717,0.0271406,-0.363839
-1.60703,0.0155649,-0.369526
-1.57235,0.000458356,-0.473306
-1.5499,0.0173855,-0.383583
-1.53188,0.108766,-0.52049
-1.48058,0.0541182,-0.561491
-1.50964,0.102568,-0.482916
-1.45464,0.0332504,-0.509889
-1.55366,0.160869,-0.453734
-1.51822,0.105583,-0.413832
-1.48496,0.044469,-0.413312
-1.55388,0.150709,-0.423723
-1.63974,0.156453,-0.358034
-1.66943,0.240259,-0.377394
-1.61605,0.0976043,-0.35895
-1.57742,0.186666,-0.413289
0.649227,0.1297,0.499118
0.605542,0.183122,0.476524
0.553699,0.167654,0.491917
0.691249,0.0569483,0.529006
0.601086,0.105512,0.537589
0.531623,0.0862931,0.522513
0.551142,0.035353,0.533229
0.652039,0.0379582,0.546576
0.507374,0.153473,0.48426
0.48986,0.196293,0.463793
0.663884,0.13171,0.462099
0.470218,0.17237,0.449445
0.480467,0.124842,0.46717
0.504381,0.066104,0.491807
0.510777,0.0400168,0.404336
0.466205,0.150109,0.38346
0.469177,0.102158,0.391575
0.496044,0.222658,0.323306
0.508938,0.149267,0.30608
0.514051,0.0891451,0.311268
0.574708,0.0229441,0.406386
0.541126,0.0500849,0.305445
0.627168,0.0234026,0.414916
0.595702,0.0385092,0.311136
0.710433,0.0770625,0.503095
0.684068,0.125508,0.42452
0.628932,0.180988,0.441391
0.676283,0.128527,0.355436
0.733977,0.0561901,0.451493
0.644126,0.183809,0.395339
0.566023,0.179392,0.299644
0.587517,0.120549,0.300556
0.643923,0.173649,0.365332
0.647537,0.0403254,0.325188
0.706461,0.0674132,0.354916
-1.54803,0.10676,0.561775
-1.59617,0.160182,0.53918
-1.65331,0.144709,0.554573
-1.50172,0.0340085,0.591662
-1.60108,0.0825683,0.600241
-1.67764,0.0633488,0.585169
-1.65612,0.0124087,0.595886
-1.54492,0.015014,0.609233
-1.70436,0.130528,0.546911
-1.72366,0.173349,0.526449
-1.53187,0.108766,0.524752
-1.74531,0.14943,0.512101
-1.73401,0.101902,0.529826
-1.70766,0.0431597,0.554462
-1.70061,0.0170769,0.466992
-1.74973,0.127169,0.446116
-1.74646,0.0792137,0.454231
-1.71684,0.199714,0.385963
-1.70263,0.126327,0.368736
-1.697,0.0662054,0.373924
-1.63015,0,0.469042
-1.66716,0.0271406,0.368101
-1.57234,0.000458356,0.477568
-1.60702,0.0155649,0.373787
-1.48057,0.0541182,0.565751
-1.50963,0.102568,0.487176
-1.57039,0.158048,0.504047
-1.51821,0.105583,0.418092
-1.45463,0.0332504,0.514149
-1.55365,0.160869,0.457996
-1.63973,0.156453,0.362295
-1.61604,0.0976043,0.363212
-1.55387,0.150709,0.427985
-1.54989,0.0173855,0.387845
-1.48495,0.044469,0.417572
0.454577,0.204404,0.369962
-1.76254,0.18146,0.432614
1.84195,2.46396,-0.258957
1.8418,2.44429,-0.264842
1.8295,2.44864,-0.26828
1.86318,2.44713,-0.212434
1.84994,2.4514,-0.256211
1.85457,2.42902,-0.23424
1.82981,2.42307,-0.254496
1.79736,2.43626,-0.264586
1.78509,2.46143,-0.273988
1.81729,2.46141,-0.274738
1.80134,2.48559,-0.272027
1.8505,2.48169,-0.233042
1.82946,2.46513,-0.270674
2.25726,2.12461,-0.070485
2.28528,2.11337,-0.0803594
2.26443,2.09603,-0.109937
2.23169,2.10643,-0.13241
2.23292,2.14189,-0.0803724
2.20327,2.14362,-0.140274
2.19946,2.1674,-0.1339
2.2165,2.15902,-0.0904537
2.20782,2.19458,-0.123333
2.23614,2.1814,-0.113146
2.27295,2.14698,-0.0929268
2.23694,2.12935,-0.0776923
2.30231,2.14627,-0.0451959
1.83393,2.49193,-0.256065
1.84995,2.4514,0.260446
1.82947,2.46513,0.274909
1.8173,2.46141,0.278974
1.86319,2.44713,0.216669
1.85051,2.48169,0.237277
1.85458,2.42902,0.238476
1.82982,2.42307,0.258731
1.84181,2.44429,0.269077
1.82951,2.44864,0.272516
1.79737,2.43626,0.268822
1.80135,2.48559,0.276263
1.7851,2.46143,0.278224
1.84196,2.46396,0.263193
1.83394,2.49193,0.260301
2.26444,2.09603,0.114171
2.25727,2.12461,0.0747181
2.23695,2.12935,0.0819253
2.20328,2.14362,0.144508
2.23293,2.14189,0.0846054
2.21651,2.15902,0.0946869
2.20783,2.19458,0.127567
2.19947,2.1674,0.138133
2.23615,2.1814,0.11738
2.27296,2.14698,0.0971596
2.2317,2.10643,0.136644
0.668827,1.21893,-0.38685
0.720807,1.2603,-0.368644
0.719458,1.17347,-0.35277
0.777596,1.28243,-0.328698
0.769318,1.18236,-0.323836
0.820999,1.26462,-0.278692
0.834937,1.193,-0.243485
0.766563,1.12818,-0.30936
0.710272,1.11127,-0.333498
0.619266,1.10488,-0.36014
0.641011,1.16565,-0.378222
0.696086,1.07703,-0.321958
0.609581,1.07003,-0.343446
0.680437,1.0328,-0.294923
0.595559,1.01689,-0.315706
0.660931,0.971349,-0.247981
0.754383,1.04123,-0.274628
0.741388,0.985688,-0.235859
0.782062,1.01467,-0.233782
0.812319,1.05858,-0.227206
0.765095,1.09244,-0.296774
0.835369,1.11467,-0.237688
0.853204,1.23733,-0.232606
0.917982,1.19301,-0.170324
0.874024,1.11837,-0.2058
0.913441,1.11668,-0.175216
0.894209,1.04965,-0.191099
0.866504,1.0129,-0.202238
0.832182,0.968263,-0.208652
0.76707,0.938914,-0.210913
0.726066,0.937217,-0.215714
0.649969,0.945244,-0.232068
0.575,0.953765,-0.286608
0.963144,1.18808,-0.123396
0.949333,1.11506,-0.135434
0.9336,1.02924,-0.14425
0.903298,0.982911,-0.15437
0.857798,0.933029,-0.157619
0.780268,0.900903,-0.168168
0.714741,0.900929,-0.169781
0.647249,0.904658,-0.187928
0.561158,0.905893,-0.242893
0.9679,1.18021,0.00212122
0.950642,1.10528,0.00212128
0.934985,1.02157,0.00212134
0.901986,0.972208,0.00212146
0.851552,0.929309,0.00212165
0.775407,0.89042,0.00212193
0.693398,0.887105,0.00212223
0.613603,0.899567,0.00212253
0.504841,0.91232,0.00212293
0.928297,1.38586,-0.227969
0.864436,1.45062,-0.288527
0.908182,1.50137,-0.252618
0.974732,1.42097,-0.186969
0.941389,1.32181,-0.187952
0.903818,1.35305,-0.24147
0.843247,1.37512,-0.294535
0.825279,1.33367,-0.292992
0.812469,1.3612,-0.352947
0.977673,1.29096,-0.148901
1.00087,1.2648,-0.113257
1.00962,1.25555,0.00212106
1.02812,1.29864,-0.114518
1.0328,1.29295,0.00212098
1.00415,1.33449,-0.141993
-0.761904,0.92178,-0.39424
-0.577606,0.890901,-0.403666
-0.641479,0.823748,-0.358932
-0.590359,0.81446,-0.351928
-0.528116,0.831299,-0.360846
-0.369486,0.905434,-0.379211
-0.376301,0.859039,-0.350624
-0.383204,0.823412,-0.243371
-0.581101,0.805167,-0.246416
-0.391372,0.806882,-0.166846
-0.125792,0.931032,-0.294272
-0.130015,0.884055,-0.175063
-0.144865,0.865792,0.00212533
-0.410084,0.797317,0.00212631
0.415744,0.379789,-0.404217
0.439151,0.382628,-0.414928
0.454556,0.302969,-0.431661
0.487442,0.398405,-0.390287
0.522565,0.407389,-0.394999
0.549331,0.332949,-0.41469
0.537302,0.407305,-0.361348
0.565258,0.330502,-0.370018
0.422906,0.295855,-0.432693
0.423131,0.270795,-0.426676
0.452802,0.241309,-0.421871
0.417255,0.229288,-0.429479
0.589983,0.275591,-0.373294
0.580263,0.266514,-0.415338
0.473031,0.312879,-0.437352
0.465269,0.397135,-0.396066
0.411715,0.22212,-0.354026
0.42612,0.230482,-0.306753
0.441183,0.289591,-0.309786
0.423727,0.393798,-0.322697
0.408021,0.371273,-0.361215
0.410295,0.277892,-0.36491
0.531368,0.261463,-0.422925
0.501032,0.32676,-0.4167
0.495203,0.250715,-0.436193
0.476055,0.244126,-0.432574
0.540506,0.347941,-0.334004
0.572395,0.271623,-0.342878
0.477083,0.302537,-0.293216
0.515949,0.335162,-0.30782
0.488918,0.402297,-0.307326
0.46995,0.406,-0.309976
0.527855,0.40034,-0.338403
-1.54697,0.845956,-0.328292
-1.59236,0.813428,-0.404103
-1.52624,0.924482,-0.433412
-1.62813,0.763859,-0.440734
-1.56059,0.915066,-0.475845
-1.66896,0.772539,-0.475492
-1.60357,0.921356,-0.490317
-1.71593,0.780301,-0.486301
-1.64433,0.943423,-0.495461
-1.76668,0.794667,-0.477396
-1.69198,0.968232,-0.478763
-1.88037,0.827234,-0.395964
-1.8839,0.826503,-0.333973
-1.83485,0.948188,-0.294472
-1.81223,1.00124,-0.317275
-1.80512,1.00153,-0.388431
-1.82548,0.948568,-0.389343
-1.73577,0.476367,-0.464428
-1.74253,0.598564,-0.459654
-1.69432,0.606926,-0.454139
-1.73886,0.673118,-0.472534
-1.68529,0.673299,-0.466671
-1.75559,0.676129,-0.470141
-1.77503,0.472986,-0.449096
-1.78837,0.587151,-0.439508
-1.80852,0.688242,-0.441029
-1.82195,0.804586,-0.427932
-1.81724,0.468763,-0.418935
-1.83579,0.5869,-0.416793
-1.86338,0.687541,-0.408691
-1.69884,0.477425,-0.459323
-1.66744,0.602293,-0.43175
-1.65078,0.678452,-0.431116
-1.61673,0.743308,-0.384954
-1.65585,0.658712,-0.376239
-1.67764,0.584436,-0.387691
-1.68469,0.496424,-0.394938
-1.67421,0.491416,-0.429489
-1.64837,0.731001,-0.34019
-1.68195,0.652753,-0.354137
-1.71738,0.652078,-0.33572
-1.72763,0.574553,-0.363738
-1.69325,0.742286,-0.315041
-1.75716,0.78757,-0.306754
-1.77581,0.661075,-0.333198
-1.76812,0.573803,-0.359594
-1.77018,0.476768,-0.375318
-1.72267,0.488582,-0.371959
-1.83221,0.797361,-0.305126
-1.85047,0.690416,-0.339012
-1.8138,0.576973,-0.36267
-1.79546,0.479611,-0.377697
-1.86857,0.686409,-0.370208
-1.84579,0.564648,-0.379527
-1.82815,0.470733,-0.396709
-1.81494,0.927047,-0.404133
0.509385,0.517291,-0.392288
0.533445,0.624065,-0.391587
0.550725,0.635517,-0.355498
0.545686,0.698743,-0.399473
0.560938,0.699523,-0.35701
0.549429,0.829496,-0.399936
0.563323,0.83699,-0.36148
0.555798,0.907171,-0.424207
0.566294,0.914995,-0.376516
0.424256,0.507823,-0.402687
0.412257,0.601623,-0.418543
0.398407,0.495427,-0.39097
0.416497,0.675089,-0.426059
0.385099,0.598189,-0.407553
0.415227,0.805586,-0.440491
0.374563,0.683142,-0.42255
0.385768,0.877725,-0.462205
0.351675,0.797625,-0.432436
0.38825,0.491993,-0.370041
0.357557,0.600953,-0.386217
0.332426,0.681035,-0.38903
0.337909,0.878726,-0.444942
0.32335,0.806005,-0.409752
0.391578,0.507404,-0.346457
0.364156,0.603871,-0.345103
0.338941,0.686043,-0.344543
0.310967,0.88026,-0.418167
0.307996,0.801434,-0.35034
0.432508,0.524847,-0.308838
0.397794,0.616734,-0.304823
0.382723,0.687868,-0.301847
0.298272,0.90815,-0.30766
0.362154,0.844157,-0.299682
0.519594,0.517865,-0.36401
0.512144,0.886744,-0.450519
0.514242,0.827658,-0.437564
0.479992,0.514462,-0.4103
0.504046,0.684747,-0.439248
0.452247,0.507968,-0.411618
0.453921,0.905901,-0.478008
0.460058,0.828751,-0.449087
0.469041,0.673458,-0.437961
0.459802,0.583277,-0.424868
0.498637,0.597188,-0.423211
0.417018,0.902274,-0.263214
0.363539,0.89992,-0.272585
0.425446,0.862759,-0.29062
0.428682,0.691862,-0.279485
0.516667,0.526244,-0.320811
0.464383,0.511204,-0.29475
0.505475,0.652144,-0.303218
0.439847,0.620111,-0.282174
0.523672,0.902869,-0.268032
0.536341,0.832533,-0.285625
0.515759,0.714673,-0.294419
0.602189,1.059,-0.41279
0.583802,1.04782,-0.463268
0.589088,0.996277,-0.393095
0.525231,1.06186,-0.506449
0.571406,0.98165,-0.441417
0.454045,1.04411,-0.511563
0.528546,0.955603,-0.469082
0.364344,1.04678,-0.501027
0.452542,0.957251,-0.495676
0.318394,1.0376,-0.477593
0.369052,0.948321,-0.48265
0.28901,1.02966,-0.449672
0.326866,0.962726,-0.468891
0.2526,1.0381,-0.370449
0.299589,0.972786,-0.428359
0.618132,1.10611,-0.427412
0.605397,1.117,-0.467521
0.550798,1.12953,-0.514715
0.468896,1.12399,-0.527472
0.383784,1.12389,-0.515288
0.330265,1.1072,-0.501392
0.292369,1.09718,-0.481917
0.236135,1.10234,-0.401148
0.63781,1.18124,-0.444921
0.379076,1.17777,-0.520225
0.481574,1.19742,-0.529905
0.565561,1.19275,-0.510769
0.609818,1.18192,-0.488786
0.288159,1.1683,-0.497716
0.335392,1.16866,-0.520501
0.984735,2.47235,-0.0129634
0.974274,2.47723,0.00212119
1.08979,2.51719,0.00212077
0.996751,2.44695,-0.0727462
1.08386,2.51096,-0.0298071
1.00645,2.38495,-0.12895
1.0919,2.49648,-0.0632118
1.01892,2.32309,-0.147252
